Códigos das respostas,Respostas Possíveis,Código da variável,Número do item da pergunta,Ano
12,Policial,V018,V18,2019
13,Outro,V018,V18,2019
1,Residência,V019,V19,2019
2,Trabalho,V019,V19,2019
3,"Escola, faculdade ou outro estabelecimento de ensino",V019,V19,2019
4,"Bar, restaurante ou similar",V019,V19,2019
5,Via pública ou outro local público,V019,V19,2019
6,Outro,V019,V19,2019
1,Sim,V02701,V27,2019
2,Não,V02701,V27,2019
1,Sim,V02702,V27,2019
2,Não,V02702,V27,2019
1,Sim,V02801,V28,2019
2,Não,V02801,V28,2019
1,Sim,V02802,V28,2019
2,Não,V02802,V28,2019
1,Muitas vezes,V029,V29,2019
2, Algumas vezes,V029,V29,2019
3, Uma vez,V029,V29,2019
01,Cônjuge ou companheiro (a),V032,V32,2019
02,Ex-Cônjuge ou ex-companheiro (a,V032,V32,2019
03,"Parceiro (a), namorado (a), ex-parceiro (a), ex-namorado (a)",V032,V32,2019
04,"Pai, mãe, padrasto ou madrasta",V032,V32,2019
05,"Filho(a), enteado(a)   ",V032,V32,2019
06, Irmão(ã),V032,V32,2019
07,Outro parente,V032,V32,2019
08,"Amigo(a)/colega, vizinho(a",V032,V32,2019
09,Empregado (a) em geral ,V032,V32,2019
10,Patrão/patroa/chefe,V032,V32,2019
11,Pessoa desconhecida,V032,V32,2019
12,Policial,V032,V32,2019
13,Outro,V032,V32,2019
1,Residência,V033,V33,2019
2,Trabalho,V033,V33,2019
3,"Escola, faculdade ou outro estabelecimento de ensino",V033,V33,2019
4,"Bar, restaurante ou similar",V033,V33,2019
5,Via pública ou outro local público,V033,V33,2019
6,Outro ,V033,V33,2019
1,Sim,V034,V34,2019
2,Não,V034,V34,2019
1,Sim,V03502,V35,2019
2,Não,V03502,V35,2019
1,Sim,V03503,V35,2019
2,Não,V03503,V35,2019
1,Sim,V036,V36,2019
2,Não,V036,V36,2019
1,Sim,V037,V37,2019
2,Não ,V037,V37,2019
01,No local,V038,V38,2019
02, Farmácia.,V038,V38,2019
03,Unidade básica de saúde (posto ou centro de saúde ou unidade de saúde da família).,V038,V38,2019
04,"Policlínica pública, PAM (Posto de Assistência Médica) ou Centro de Especialidades público",V038,V38,2019
05,"UPA (Unidade de Pronto Atendimento), outro tipo de pronto atendimento público (24 horas), pronto-socorro ou emergência de hospital público.",V038,V38,2019
06,Ambulatório de hospital público.,V038,V38,2019
07,"Consultório particular, clínica privada ou ambulatório de hospital privado.",V038,V38,2019
08,Pronto atendimento ou emergência de hospital privado.,V038,V38,2019
09, No domicílio,V038,V38,2019
10,Outro serviço,V038,V38,2019
1,Sim,V039,V39,2019
2,Não,V039,V39,2019
1,Sim,T001,T1,2019
2,Não,T001,T1,2019
1,Sim,T002,T2,2019
2,Não,T002,T2,2019
1,Sim,T003,T3,2019
2,Não,T003,T3,2019
1,Sim,T004,T4,2019
2,Não,T004,T4,2019
1,Sim,T005,T5,2019
2,Não,T005,T5,2019
1,Sim,T00601,T6,2019
2,Não,T00601,T6,2019
1,Sim,T00602,T6,2019
2,Não,T00602,T6,2019
1,Sim,T00603,T6,2019
2,Não,T00603,T6,2019
1,Sim,T00604,T6,2019
2,Não,T00604,T6,2019
1,Sim,T00605,T6,2019
2,Não,T00605,T6,2019
1,Sim,T00606,T6,2019
2,Não,T00606,T6,2019
1,Idade em anos   ,Y001,Y1,2019
2,Nunca teve relações sexuais ,Y001,Y1,2019
3,Não sabe/Não lembra ,Y001,Y1,2019
4,Recusou-se a responder ,Y001,Y1,2019
0 a 130,Idade (em anos),Y00101,Y1,2019
1,Sim ,Y002,Y2,2019
2,Não ,Y002,Y2,2019
3,Recusou-se a responder ,Y002,Y2,2019
1,Sempre,Y003,Y3,2019
2,Às vezes ,Y003,Y3,2019
3,Nenhuma  vez,Y003,Y3,2019
4,Recusou-se a responder ,Y003,Y3,2019
1,Camisinha masculina ,Y004,Y4,2019
2,Camisinha feminina ,Y004,Y4,2019
3,Não usou nenhuma ,Y004,Y4,2019
4,Não sabe/Não lembra ,Y004,Y4,2019
5,Recusou-se a responder,Y004,Y4,2019
1,Confia parceiro(a),Y005,Y5,2019
2,Não gosta de ter relações com camisinha,Y005,Y5,2019
3,O(a) parceiro(a) não quis usar,Y005,Y5,2019
4,Não deu tempo,Y005,Y5,2019
5,Usou outro método,Y005,Y5,2019
6,Quer ter filhos,Y005,Y5,2019
7,Outro motivo ,Y005,Y5,2019
8,Não sabe/Não lembra ,Y005,Y5,2019
9,Recusou-se a responder,Y005,Y5,2019
1,"Sim, camisinha masculina    ",Y006,Y6,2019
2,"Sim, camisinha feminina      ",Y006,Y6,2019
3,Não,Y006,Y6,2019
4,Não sabe/Não lembra ,Y006,Y6,2019
5,Recusou-se a responder      ,Y006,Y6,2019
1,Não preciso/não quero/prefiro comprar,Y007,Y7,2019
2,Não sabia que podia obter nesses lugares,Y007,Y7,2019
3,O serviço de saúde era distante ou teve dificuldade de transporte,Y007,Y7,2019
4,O tempo de espera no serviço de saúde é muito grande/Atendimento era ruim,Y007,Y7,2019
5,Outro motivo,Y007,Y7,2019
1,Heterosexual,Y008,Y8,2019
2,Bissexual,Y008,Y8,2019
3,Homosexual,Y008,Y8,2019
4,Outra orientação,Y008,Y8,2019
5,Não sabe ,Y008,Y8,2019
6,Recusou-se a responder,Y008,Y8,2019
1,Até 15 dias,H001,H1,2019
2,Mais de 15 dias até 1 mês,H001,H1,2019
3,Mais de 1 mês até 6 meses,H001,H1,2019
4,Mais de 6 meses até 1 ano,H001,H1,2019
5,Há mais de 1 ano,H001,H1,2019
9,Ignorado,H001,H1,2019
1,Sim,H002,H2,2019
2,Não,H002,H2,2019
9,Ignorado,H002,H2,2019
1,Acidente ou lesão,H003,H3,2019
2,Continuação de tratamento ou terapia,H003,H3,2019
3,Consulta pré-natal,H003,H3,2019
4,Exame médico periódico,H003,H3,2019
5,"Outro exame médico (admissional, para carteira de motorista, etc",H003,H3,2019
6,Problema de saúde mental,H003,H3,2019
7,Doença ou outro problema de saúde,H003,H3,2019
8,Outro (Especifique:__),H003,H3,2019
9,Ignorado,H003,H3,2019
1,Unidade básica de saúde (posto ou centro de saúde ou unidade de saúde da família),H004,H4,2019
2,"Centro de Especialidades, Policlínica pública ou PAM – Posto de Assistência Médica",H004,H4,2019
3,CAPS – Centro de Atenção Psicossocial,H004,H4,2019
4,UPA (Unidade de Pronto Atendimento),H004,H4,2019
5,Outro tipo de Pronto Atendimento Público (24 horas),H004,H4,2019
6,Pronto-socorro ou emergência de hospital público,H004,H4,2019
7,Hospital público/ambulatório,H004,H4,2019
8,Consultório particular ou clínica privada,H004,H4,2019
9,Ambulatório ou consultório de empresa ou sindicato,H004,H4,2019
10,Pronto-atendimento ou emergência de hospital privado,H004,H4,2019
11,"No domicílio, com médico particular",H004,H4,2019
12,"No domicílio, com médico da equipe de saúde da família",H004,H4,2019
13,Outro (Especifique:__),H004,H4,2019
99,Ignorado,H004,H4,2019
1,Sim,H005,H5,2019
2,Não,H005,H5,2019
9,Ignorado,H005,H5,2019
1,Sim,H006,H6,2019
2,Não,H006,H6,2019
9,Ignorado,H006,H6,2019
1,Sim,H007,H7,2019
2,Não,H007,H7,2019
9,Ignorado,H007,H7,2019
4,Com certeza sim,H008,H8,2019
3,Provavelmente sim,H008,H8,2019
2,Provavelmente não,H008,H8,2019
1,Com certeza não,H008,H8,2019
5,Não sabe/Não lembra,H008,H8,2019
9,Ignorado,H008,H8,2019
4,Com certeza sim,H009,H9,2019
3,Provavelmente sim,H009,H9,2019
2,Provavelmente não,H009,H9,2019
1,Com certeza não,H009,H9,2019
5,Não sabe/Não lembra,H009,H9,2019
9,Ignorado,H009,H9,2019
4,Com certeza sim,H010,H10,2019
3,Provavelmente sim,H010,H10,2019
2,Provavelmente não,H010,H10,2019
1,Com certeza não,H010,H10,2019
5,Não sabe/Não lembra,H010,H10,2019
9,Ignorado,H010,H10,2019
4,Com certeza sim,H011,H11,2019
3,Provavelmente sim,H011,H11,2019
2,Provavelmente não,H011,H11,2019
1,Com certeza não,H011,H11,2019
5,Não sabe/Não lembra,H011,H11,2019
9,Ignorado,H011,H11,2019
4,Com certeza sim,H012,H12,2019
3,Provavelmente sim,H012,H12,2019
2,Provavelmente não,H012,H12,2019
1,Com certeza não,H012,H12,2019
5,Não sabe/Não lembra,H012,H12,2019
9,Ignorado,H012,H12,2019
4,Com certeza sim,H013,H13,2019
3,Provavelmente sim,H013,H13,2019
2,Provavelmente não,H013,H13,2019
1,Com certeza não,H013,H13,2019
5,Não sabe/Não lembra,H013,H13,2019
9,Ignorado,H013,H13,2019
4,Com certeza sim,H014,H14,2019
3,Provavelmente sim,H014,H14,2019
2,Provavelmente não,H014,H14,2019
1,Com certeza não,H014,H14,2019
5,Não sabe/Não lembra,H014,H14,2019
9,Ignorado,H014,H14,2019
1,Sim,H015,H15,2019
2,Não,H015,H15,2019
3,Não sabe/Não lembra,H015,H15,2019
9,Ignorado,H015,H15,2019
4,Com certeza sim,H016,H16,2019
3,Provavelmente sim,H016,H16,2019
2,Provavelmente não,H016,H16,2019
1,Com certeza não,H016,H16,2019
5,Não sabe/Não lembra,H016,H16,2019
9,Ignorado,H016,H16,2019
4,Com certeza sim,H017,H17,2019
3,Provavelmente sim,H017,H17,2019
2,Provavelmente não,H017,H17,2019
1,Com certeza não,H017,H17,2019
5,Não sabe/Não lembra,H017,H17,2019
9,Ignorado,H017,H17,2019
4,Com certeza sim,H018,H18,2019
3,Provavelmente sim,H018,H18,2019
2,Provavelmente não,H018,H18,2019
1,Com certeza não,H018,H18,2019
5,Não sabe/Não lembra,H018,H18,2019
4,Com certeza sim,H019,H19,2019
3,Provavelmente sim,H019,H19,2019
2,Provavelmente não,H019,H19,2019
1,Com certeza não,H019,H19,2019
5,Não sabe/Não lembra,H019,H19,2019
9,Ignorado,H019,H19,2019
4,Com certeza sim,H020,H20,2019
3,Provavelmente sim,H020,H20,2019
2,Provavelmente não,H020,H20,2019
1,Com certeza não,H020,H20,2019
5,Não sabe/Não lembra,H020,H20,2019
9,Ignorado,H020,H20,2019
4,Com certeza sim,H021,H21,2019
3,Provavelmente sim,H021,H21,2019
2,Provavelmente não,H021,H21,2019
1,Com certeza não,H021,H21,2019
5,Não sabe/Não lembra,H021,H21,2019
9,Ignorado,H021,H21,2019
4,Com certeza sim,H022,H22,2019
3,Provavelmente sim,H022,H22,2019
2,Provavelmente não,H022,H22,2019
1,Com certeza não,H022,H22,2019
5,Não sabe/Não lembra,H022,H22,2019
9,Ignorado,H022,H22,2019
4,Com certeza sim,H023,H23,2019
3,Provavelmente sim,H023,H23,2019
2,Provavelmente não,H023,H23,2019
1,Com certeza não,H023,H23,2019
5,Não sabe/Não lembra,H023,H23,2019
9,Ignorado,H023,H23,2019
4,Com certeza sim,H024,H24,2019
3,Provavelmente sim,H024,H24,2019
2,Provavelmente não,H024,H24,2019
1,Com certeza não,H024,H24,2019
5,Não sabe/Não lembra,H024,H24,2019
9,Ignorado,H024,H24,2019
4,Com certeza sim,H025,H25,2019
3,Provavelmente sim,H025,H25,2019
2,Provavelmente não,H025,H25,2019
1,Com certeza não,H025,H25,2019
5,Não sabe/Não lembra,H025,H25,2019
9,Ignorado,H025,H25,2019
4,Com certeza sim,H026,H26,2019
3,Provavelmente sim,H026,H26,2019
2,Provavelmente não,H026,H26,2019
1,Com certeza não,H026,H26,2019
5,Não sabe/Não lembra,H026,H26,2019
9,Ignorado,H026,H26,2019
4,Com certeza sim,H027,H27,2019
3,Provavelmente sim,H027,H27,2019
2,Provavelmente não,H027,H27,2019
1,Com certeza não,H027,H27,2019
5,Não sabe/Não lembra,H027,H27,2019
9,Ignorado,H027,H27,2019
4,Com certeza sim,H028,H28,2019
3,Provavelmente sim,H028,H28,2019
2,Provavelmente não,H028,H28,2019
1,Com certeza não,H028,H28,2019
5,Não sabe/Não lembra,H028,H28,2019
9,Ignorado,H028,H28,2019
4,Com certeza sim,H029,H29,2019
3,Provavelmente sim,H029,H29,2019
2,Provavelmente não,H029,H29,2019
1,Com certeza não,H029,H29,2019
5,Não sabe/Não lembra,H029,H29,2019
9,Ignorado,H029,H29,2019
4,Com certeza sim,H030,H30,2019
3,Provavelmente sim,H030,H30,2019
2,Provavelmente não,H030,H30,2019
1,Com certeza não,H030,H30,2019
5,Não sabe/Não lembra,H030,H30,2019
9,Ignorado,H030,H30,2019
1,Realizada,W001,H30,2019
2,Recusa,W001,H30,2019
3,Morador não encontrado,W001,H30,2019
4,Não realizada por outro motivo,W001,H30,2019
9,Ignorado,W001,H30,2019
20 a 200,Quilogramas,W00101,H30,2019
999,Erro,W00101,H30,2019
20 a 200,Quilogramas,W00102,H30,2019
999,Erro,W00102,H30,2019
20 a 200,Quilogramas,W00103,H30,2019
999,Erro,W00103,H30,2019
110 a 210,Centímetros,W00201,H30,2019
999,Erro,W00201,H30,2019
110 a 210,Centímetros,W00202,H30,2019
999,Erro,W00202,H30,2019
110 a 210,Centímetros,W00203,H30,2019
999,Erro,W00203,H30,2019
5 dígitos e 8 casas decimais,Peso do domicílio e dos moradores com correção de não entrevista sem calibração pela projeção de população,V0028,H30,2019
5 dígitos e 8 casas decimais,Peso do morador selecionado com correção de não entrevista sem calibração pela projeção de população para morador selecionado,V0029,H30,2019
8 dígitos e 8 casas decimais,Peso do morador selecionado para antropometria com correção de não entrevista sem calibração pela projeção de população para morador selecionado para antropometria,V0030,H30,2019
5 dígitos e 8 casas decimais,Peso do domicílio e dos moradores com correção de não entrevista com calibração pela projeção de população - Usado no cálculo de indicadores de domicílio e moradores,V00281,H30,2019
5 dígitos e 8 casas decimais,Peso do morador selecionado com correção de não entrevista com calibração pela projeção de população para morador selecionado - Usado no cálculo de indicadores de morador selecionado,V00291,H30,2019
8 dígitos e 8 casas decimais,Peso do morador selecionado para antropometria com correção de não entrevista com calibração pela projeção de população para morador selecionado para antropometria - Usado no cálculo de indicadores de antropometria,V00301,H30,2019
-,Projeção da população,V00282,H30,2019
8 dígitos e 8 casas decimais,Projeção da população obtida com os dados dos moradores dos domicílios da pesquisa - Só aplicável para domicílios com entrevista realizada para morador selecionado,V00292,H30,2019
8 dígitos e 8 casas decimais,Projeção da população obtida com os dados dos moradores dos domicílios da pesquisa - Só aplicável para domicílios com antropometria aferida para morador selecionado,V00302,H30,2019
-,Domínio de projeção para domicílio e moradores,V00283,H30,2019
-,Domínio de projeção para morador selecionado - Só aplicável para domicílios com entrevista realizada para morador selecionado,V00293,H30,2019
-,Domínio de projeção para morador selecionado para antropometria - Só aplicável para domicílios com antropometria aferida para morador selecionado,V00303,H30,2019
01 a 30,Pessoas,VDC001,H30,2019
01 a 30,Pessoas,VDC003,H30,2019
1,Sem instrução,VDD004A,H30,2019
2,Fundamental incompleto ou equivalente,VDD004A,H30,2019
3,Fundamental completo ou equivalente,VDD004A,H30,2019
4,Médio incompleto ou equivalente,VDD004A,H30,2019
5,Médio completo ou equivalente,VDD004A,H30,2019
6,Superior incompleto ou equivalente,VDD004A,H30,2019
7,Superior completo ,VDD004A,H30,2019
1,Pessoas na força de trabalho,VDE001,H30,2019
2,Pessoas fora da força de trabalho,VDE001,H30,2019
1,Pessoas Ocupadas ,VDE002,H30,2019
2,Pessoas desocupadas ,VDE002,H30,2019
01,"Agricultura, pecuária, produção florestal, pesca e aquicultura ",VDE014,H30,2019
02,Indústria geral,VDE014,H30,2019
03,Construção,VDE014,H30,2019
04,"Comércio, reparação de veículos automotores e motocicletas",VDE014,H30,2019
05,"Transporte, armazenagem e correio ",VDE014,H30,2019
06,Alojamento e alimentação ,VDE014,H30,2019
07,"Informação, comunicação e atividades financeiras, imobiliárias, profissionais e administrativas",VDE014,H30,2019
08,"Administração pública, defesa e seguridade social ",VDE014,H30,2019
09,"Educação, saúde humana e serviços sociais",VDE014,H30,2019
10,Outros Serviços,VDE014,H30,2019
11,Serviços domésticos,VDE014,H30,2019
12,Atividades maldefinidas,VDE014,H30,2019
00000000 a 99999999,Reais,VDF002,H30,2019
00000000 a 99999999,Reais,VDF003,H30,2019
1,Até ¼ salário mínimo,VDF004,H30,2019
2,Mais de ¼ até ½ salário mínimo,VDF004,H30,2019
3,Mais de ½ até 1 salário mínimo,VDF004,H30,2019
4,Mais de 1 até 2 salários mínimos,VDF004,H30,2019
5,Mais de 2 até 3 salários mínimos,VDF004,H30,2019
6,Mais de 3 até 5 salários mínimos,VDF004,H30,2019
7,Mais de 5 salários mínimos,VDF004,H30,2019
01 a 31,Idade (em meses),VDL001,H30,2019
99,Ignorado,VDL001,H30,2019
1,Menos de 30 minutos,VDM001,H30,2019
2,De 30 minutos até menos de 1 hora,VDM001,H30,2019
3,De 1 hora até menos de 2 horas,VDM001,H30,2019
4,2 horas ou mais,VDM001,H30,2019
1,Legal,VDP001,H30,2019
2,Ilegal,VDP001,H30,2019
3,Não classificado,VDP001,H30,2019
1,Ligadura das trompas (laqueadura ou esterilização feminina),VDR001,H30,2019
2,Vasectomia do parceiro (esterilização masculina),VDR001,H30,2019
3,DIU (dispositivo intrauterino),VDR001,H30,2019
4,Injeções contraceptivas    ,VDR001,H30,2019
5,Pílula anticoncepcional    ,VDR001,H30,2019
6,Camisinha masculina    ,VDR001,H30,2019
7,"Outro método moderno (camisinha feminina, pílula do dia seguinte,implante, espermicida (creme/óvulo), diafragma, adesivo e anel)",VDR001,H30,2019
8,Tabelinha/ Billings    ,VDR001,H30,2019
9,Outro método tradicional    ,VDR001,H30,2019
11,Rondônia,V0001,-,2013
12,Acre,V0001,-,2013
13,Amazonas,V0001,-,2013
14,Roraima,V0001,-,2013
15,Pará,V0001,-,2013
16,Amapá,V0001,-,2013
17,Tocantins,V0001,-,2013
21,Maranhão,V0001,-,2013
22,Piauí,V0001,-,2013
23,Ceará,V0001,-,2013
24,Rio Grande do Norte,V0001,-,2013
25,Paraíba,V0001,-,2013
26,Pernambuco,V0001,-,2013
27,Alagoas,V0001,-,2013
28,Sergipe,V0001,-,2013
29,Bahia,V0001,-,2013
31,Minas Gerais,V0001,-,2013
32,Espírito Santo,V0001,-,2013
33,Rio de Janeiro,V0001,-,2013
35,São Paulo,V0001,-,2013
41,Paraná,V0001,-,2013
42,Santa Catarina,V0001,-,2013
43,Rio Grande do Sul,V0001,-,2013
50,Mato Grosso do Sul,V0001,-,2013
51,Mato Grosso,V0001,-,2013
52,Goiás,V0001,-,2013
53,Distrito Federal,V0001,-,2013
1,TIPO A - Realizada,V0015,-,2013
2,TIPO A - Fechada,V0015,-,2013
3,TIPO A - Recusa,V0015,-,2013
4,TIPO A - Outra,V0015,-,2013
5,TIPO B - Em condições de ser habitada,V0015,-,2013
6,TIPO B - Uso ocasional,V0015,-,2013
7,TIPO B - Em construção ou reforma,V0015,-,2013
8,TIPO B - Em ruínas,V0015,-,2013
9,TIPO C - Demolida,V0015,-,2013
10,TIPO C - Não foi encontrada,V0015,-,2013
11,TIPO C - Não residencial,V0015,-,2013
12,TIPO C - Fora do setor,V0015,-,2013
01 a 30,Pessoas,V0022,-,2013
1,Urbano,V0026,-,2013
2,Rural,V0026,-,2013
1,Capital,V0031,-,2013
2,"Resto da RM (Região Metropolitana, excluindo a capital)",V0031,-,2013
3,RIDE (excluindo a capital),V0031,-,2013
4,"Resto da UF (Unidade da Federação, excluindo a região metropolitana e RIDE)",V0031,-,2013
0,Não selecionada,V0025,-,2013
1,Selecionada,V0025,-,2013
1,Casa,A001,-,2013
2,Apartamento,A001,-,2013
3,"Habitação em casa de cómodos, cortiço ou cabeça-de-porco",A001,-,2013
1,Alvenaria com revestimento,A002,-,2013
2,Alvenaria sem revestimento,A002,-,2013
3,Madeira apropriada para construção,A002,-,2013
4,Taipa não revestida,A002,-,2013
5,Madeira aproveitada,A002,-,2013
6,Palha,A002,-,2013
7,Outro material,A002,-,2013
1,Telha,A003,-,2013
2,Laje de concreto,A003,-,2013
3,Madeira apropriada para construção,A003,-,2013
4,Zinco ou chapa metálica,A003,-,2013
5,Madeira aproveitada,A003,-,2013
6,Palha,A003,-,2013
7,Outro material,A003,-,2013
1,Carpete,A004,-,2013
2,"Cerâmica, lajota ou pedra",A004,-,2013
3,Tacos ou tábua corrida,A004,-,2013
4,Cimento,A004,-,2013
5,Madeira aproveitada,A004,-,2013
6,Terra,A004,-,2013
7,Outro material,A004,-,2013
1,Rede geral de distribuição,A005,-,2013
2,Poço ou nascente na propriedade,A005,-,2013
3,Poço ou nascente fora da propriedade,A005,-,2013
4,Carro-pipa,A005,-,2013
5,Água da chuva armazenada em cisterna,A005,-,2013
6,Água da chuva armazenada de outro modo,A005,-,2013
7,"Rios, lagos e igarapés",A005,-,2013
8,Outra,A005,-,2013
1,Diariamente,A006,-,2013
2,Pelo menos uma vez por semana,A006,-,2013
3,Menos que uma vez por semana,A006,-,2013
1,Sim,A007,-,2013
2,Não,A007,-,2013
1,Nenhuma,A008,-,2013
2,Rede geral de distribuição,A008,-,2013
3,Poço ou nascente na propriedade,A008,-,2013
4,Poço ou nascente fora da propriedade,A008,-,2013
5,Carro-pipa,A008,-,2013
6,Água da chuva armazenada em cisterna,A008,-,2013
7,Água da chuva armazenada de outro modo,A008,-,2013
8,"Rios, lagos e igarapés",A008,-,2013
9,Outra,A008,-,2013
1,Filtrada,A009,-,2013
2,Fervida,A009,-,2013
3,Tratada de outra forma no domicílio,A009,-,2013
4,Mineral industrializada,A009,-,2013
5,Sem tratamento no domicílio,A009,-,2013
01 a 99,Cômodos,A010,-,2013
01 a 99,Cômodos servindo permanentemente de dormitório para os moradores do domicílio,A011,-,2013
1,Sim,A012,-,2013
2,Não,A012,-,2013
1,Gás de botijão,A013,-,2013
2,Gás canalizado,A013,-,2013
3,Lenha,A013,-,2013
4,Carvão,A013,-,2013
5,Energia elétrica,A013,-,2013
6,Outro,A013,-,2013
7,Não tem fogão,A013,-,2013
01 a 99,Banheiros ou sanitários,A014,-,2013
1,Rede geral de esgoto ou pluvial,A015,-,2013
2,Fossa séptica,A015,-,2013
3,Fossa rudimentar,A015,-,2013
4,Vala,A015,-,2013
5,"Direto para rio, lago ou mar",A015,-,2013
6,Outra,A015,-,2013
1,Coletado diretamente por serviço de limpeza,A016,-,2013
2,Coletado em caçamba de serviço de limpeza,A016,-,2013
3,É queimado na propriedade,A016,-,2013
4,É enterrado na propriedade,A016,-,2013
5,Jogado em terreno baldio ou logradouro,A016,-,2013
6,"Jogado em rio, lago ou mar",A016,-,2013
7,Outro,A016,-,2013
1,Rede geral,A017,-,2013
2,"Outra origem (gerador, placa solar, eólica etc.)",A017,-,2013
3,Não tem energia elétrica,A017,-,2013
1,Sim,A01801,-,2013
2,Não,A01801,-,2013
1 a 9,Televisores a cores,A01802,-,2013
1,Sim,A01803,-,2013
2,Não,A01803,-,2013
1 a 9,Geladeiras,A01804,-,2013
1,Sim,A01805,-,2013
2,Não,A01805,-,2013
1 a 9,Vídeos/DVDs,A01806,-,2013
1,Sim,A01807,-,2013
2,Não,A01807,-,2013
1 a 9,Máquinas de lavar roupa,A01808,-,2013
1,Sim,A01809,-,2013
2,Não,A01809,-,2013
1 a 9,Linhas de telefone fixo,A01810,-,2013
1,Sim,A01811,-,2013
2,Não,A01811,-,2013
1 a 9,Telefones celulares,A01812,-,2013
1 a 9,Fornos micro-ondas,A01813,-,2013
1 a 9,Fornos micro-ondas,A01814,-,2013
1,Sim,A01815,-,2013
2,Não,A01815,-,2013
1 a 9,Computadores,A01816,-,2013
1,Sim,A01817,-,2013
2,Não,A01817,-,2013
1 a 9,Motocicletas,A01818,-,2013
1,Sim,A019,-,2013
2,Não,A019,-,2013
1 a 9,Carros,A020,-,2013
1,Sim,A021,-,2013
2,Não,A021,-,2013
1,Sim,A022,-,2013
2,Não,A022,-,2013
001 a 999,Gatos,A02301,-,2013
001 a 999,Cachorros,A02302,-,2013
001 a 999,Aves,A02303,-,2013
001 a 999,Peixes,A02304,-,2013
1,"Sim, todos",A024,-,2013
2,"Não, nem todos",A024,-,2013
3,Nenhum deles,A024,-,2013
1,Sim,B001,-,2013
2,Não,B001,-,2013
3,Não sei,B001,-,2013
1,Há menos de 2 meses,B002,-,2013
2,De 2 a menos de 6 meses,B002,-,2013
3,De 6 meses a menos de um ano,B002,-,2013
4,Há um ano ou mais,B002,-,2013
1,Mensalmente,B003,-,2013
2,A cada 2 meses,B003,-,2013
3,De 2 a 4 vezes,B003,-,2013
4,Uma vez,B003,-,2013
5,Nunca recebeu,B003,-,2013
1,Mensalmente,B004,-,2013
2,A cada 2 meses,B004,-,2013
3,De 2 a 4 vezes,B004,-,2013
4,Uma vez,B004,-,2013
5,Nunca recebeu,B004,-,2013
1,Pessoa responsável pelo domicílio,C004,-,2013
2,Cônjuge ou companheiro(a) de sexo diferente,C004,-,2013
3,Cônjuge ou companheiro(a) do mesmo sexo,C004,-,2013
4,Filho(a) do responsável e do cônjuge,C004,-,2013
5,Filho(a) somente do responsável,C004,-,2013
6,Enteado(a),C004,-,2013
7,Genro ou nora,C004,-,2013
8,"Pai, mãe, padrasto ou madrasta",C004,-,2013
9,Sogro(a),C004,-,2013
10,Neto(a),C004,-,2013
11,Bisneto(a),C004,-,2013
12,Irmão ou irmã,C004,-,2013
13,Avô ou avó,C004,-,2013
14,Outro parente,C004,-,2013
15,Agregado(a) – Não parente que não compartilha despesas,C004,-,2013
16,Convivente – Não parente que compartilha despesas,C004,-,2013
17,Pensionista,C004,-,2013
18,Empregado(a) doméstico(a),C004,-,2013
19,Parente do(a) empregado(a) doméstico(a),C004,-,2013
1,Masculino,C006,-,2013
2,Feminino,C006,-,2013
01 a 31,Dia de nascimento,C00701,-,2013
99,Não informado,C00701,-,2013
01 a 12,Mês,C00702,-,2013
99,Não informado,C00702,-,2013
ano atual - 130 a ano atual,Ano,C00703,-,2013
9999,Não informado,C00703,-,2013
000 a 130,Idade (em anos),C008,-,2013
1,Branca,C009,-,2013
2,Preta,C009,-,2013
3,Amarela,C009,-,2013
4,Parda,C009,-,2013
5,Indígena,C009,-,2013
9,Ignorado,C009,-,2013
1,Sim,C010,-,2013
2,Não,C010,-,2013
1,Casado(a),C011,-,2013
2,Separado(a) ou desquitado(a) judicialmente,C011,-,2013
3,Divorciado(a),C011,-,2013
4,Viúvo(a),C011,-,2013
5,Solteiro(a),C011,-,2013
1,A própria pessoa,C012,-,2013
2,Outro morador,C012,-,2013
3,Não morador,C012,-,2013
1,Sim,D001,-,2013
2,Não,D001,-,2013
1,Sim,D002,-,2013
2,Não,D002,-,2013
1,Pré-escolar (maternal e jardim de infância),D003,-,2013
2,Alfabetização de jovens e adultos,D003,-,2013
3,Regular do ensino fundamental,D003,-,2013
4,Educação de jovens e adultos (EJA) ou supletivo do ensino fundamental,D003,-,2013
5,Regular do ensino médio,D003,-,2013
6,Educação de jovens e adultos (EJA) ou supletivo do ensino médio,D003,-,2013
7,Superior - graduação,D003,-,2013
8,Mestrado,D003,-,2013
9,Doutorado,D003,-,2013
1,8 anos,D004,-,2013
2,9 anos,D004,-,2013
1,Sim,D005,-,2013
2,Não,D005,-,2013
1,Primeira (o),D006,-,2013
2,Segunda (o),D006,-,2013
3,Terceira (o),D006,-,2013
4,Quarta (o),D006,-,2013
5,Quinta (o),D006,-,2013
6,Sexta (o),D006,-,2013
7,Sétima (o),D006,-,2013
8,Oitava (o),D006,-,2013
9,Nona(o),D006,-,2013
1,Sim,D007,-,2013
2,Não,D007,-,2013
1,Sim,D008,-,2013
2,Não,D008,-,2013
1,Classe de alfabetização – CA,D009,-,2013
2,Alfabetização de jovens e adultos,D009,-,2013
3,Antigo primário (elementar),D009,-,2013
4,Antigo ginásio (médio 1º ciclo),D009,-,2013
5,Regular do ensino fundamental ou do 1º grau,D009,-,2013
